data_turno;turno;macchina;kwh;kg_sabbia;litri_legante
01/09/2026;1;SOFF_ORIZZ_01;446,40;4417,60;79,52
01/09/2026;1;SOFF_ORIZZ_02;472,30;4743,20;85,38
2026/09/01;1;SOFF_ORIZZ_03;238,15;1799,60;32,39
01-09-2026;1;soff_vert_01;288,26;2095,10;37,71
01-09-2026;1;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/01;2;SOFF_ORIZZ_01;445,70;4408,80;79,36
2026/09/01;2;SOFF_ORIZZ_02;472,30;4743,20;85,38
01/09/2026;2;SOFF_ORIZZ_03;238,15;1799,60;32,39
01-09-2026;2;SOFF_VERT_01;288,26;2095,10;37,71
01/09/2026;2;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/01;3;SOFF_ORIZZ_01;356,45;3286,80;59,16
01/09/2026;3;soff_orizz_02;441,50;4356,00;78,41
01-09-2026;3;SOFF_ORIZZ_03;238,15;1799,60;32,39
2026/09/01;3;SOFF_VERT_01;288,26;2095,10;37,71
01/09/2026;3;SOFF_VERT_02;324,99;2556,93;46,02
02/09/2026;1;SOFF_ORIZZ_01;225,20;1636,80;29,46
02/09/2026;1;soff_orizz_02;238,15;1799,60;32,39
02/09/2026;1;SOFF_ORIZZ_03;238,15;1799,60;32,39
2026/09/02;1;  SOFF_VERT_01 ;288,26;2095,10;37,71
02/09/2026;1;SOFF_VERT_02;302,14;2269,70;40,85
02/09/2026;2;SOFF_ORIZZ_01;225,20;1636,80;29,46
02-09-2026;2;SOFF_ORIZZ_02;238,15;1799,60;32,39
2026/09/02;2;SOFF_ORIZZ_03;238,15;1799,60;32,39
02/09/2026;2;SOFF_VERT_01;288,26;2095,10;37,71
02/09/2026;2;soff_vert_02;324,99;2556,93;46,02
02/09/2026;3;SOFF_ORIZZ_01;225,20;1636,80;29,46
2026/09/02;3;SOFF_ORIZZ_02;238,15;1799,60;32,39
02/09/2026;3;  SOFF_ORIZZ_03 ;238,15;1799,60;32,39
02/09/2026;3;SOFF_VERT_01;288,26;2095,10;37,71
2026/09/02;3;SOFF_VERT_02;324,99;2556,93;46,02
2026/09/03;1;SOFF_ORIZZ_01;225,20;1636,80;29,46
2026/09/03;1;SOFF_ORIZZ_02;238,15;1799,60;32,39
03-09-2026;1;SOFF_ORIZZ_03;238,15;1799,60;32,39
