codice_contenitore;tipo_contenitore;numero_scatole_nel_bancale
BOX_00001;bancale in polistirolo;8
BOX_00002;cassone metallico;0
BOX_00003;bancale in polistirolo;8
BOX_00004;bancale in polistirolo;8
BOX_00005;cassone metallico;0
BOX_00006;cassone metallico;0
BOX_00007;cassone metallico;0
BOX_00008;bancale in polistirolo;8
BOX_00009;bancale in polistirolo;8
BOX_00010;cassone metallico;0
BOX_00011;bancale in polistirolo;8
BOX_00012;bancale in polistirolo;6
BOX_00013;bancale in polistirolo;8
BOX_00014;cassone metallico;0
BOX_00015;cassone metallico;0
BOX_00016;bancale in polistirolo;1
BOX_00017;bancale in polistirolo;8
BOX_00018;cassone metallico;0
BOX_00019;cassone metallico;0
BOX_00020;cassone metallico;0
BOX_00021;cassone metallico;0
BOX_00022;cassone metallico;0
BOX_00023;cassone metallico;0
BOX_00024;cassone metallico;0
BOX_00025;bancale in polistirolo;8
BOX_00026;bancale in polistirolo;6
BOX_00027;cassone metallico;0
BOX_00028;cassone metallico;0
BOX_00029;cassone metallico;0
BOX_00030;cassone metallico;0
BOX_00031;bancale in polistirolo;8
BOX_00032;cassone metallico;0
BOX_00033;bancale in polistirolo;8
BOX_00034;cassone metallico;0
BOX_00035;bancale in polistirolo;6
BOX_00036;cassone metallico;0
BOX_00037;bancale in polistirolo;8
BOX_00038;bancale in polistirolo;8
BOX_00039;bancale in polistirolo;8
BOX_00040;cassone metallico;0
BOX_00041;bancale in polistirolo;8
BOX_00042;cassone metallico;0
BOX_00043;bancale in polistirolo;8
BOX_00044;cassone metallico;0
BOX_00045;bancale in polistirolo;8
BOX_00046;bancale in polistirolo;4
BOX_00047;bancale in polistirolo;8
BOX_00048;cassone metallico;0
BOX_00049;bancale in polistirolo;8
BOX_00050;cassone metallico;0
BOX_00051;bancale in polistirolo;8
BOX_00052;bancale in polistirolo;8
BOX_00053;cassone metallico;0
BOX_00054;bancale in polistirolo;8
BOX_00055;cassone metallico;0
BOX_00056;cassone metallico;0
BOX_00057;cassone metallico;0
BOX_00058;cassone metallico;0
BOX_00059;bancale in polistirolo;7
BOX_00060;bancale in polistirolo;8
BOX_00061;bancale in polistirolo;4
BOX_00062;cassone metallico;0
BOX_00063;bancale in polistirolo;7
BOX_00064;bancale in polistirolo;8
BOX_00065;bancale in polistirolo;8
BOX_00066;bancale in polistirolo;4
BOX_00067;cassone metallico;0
BOX_00068;cassone metallico;0
BOX_00069;bancale in polistirolo;8
BOX_00070;cassone metallico;0
BOX_00071;cassone metallico;0
BOX_00072;cassone metallico;0
BOX_00073;bancale in polistirolo;8
BOX_00074;cassone metallico;0
BOX_00075;cassone metallico;0
BOX_00076;cassone metallico;0
BOX_00077;cassone metallico;0
BOX_00078;cassone metallico;0
BOX_00079;bancale in polistirolo;8
BOX_00080;cassone metallico;0
BOX_00081;bancale in polistirolo;8
BOX_00082;cassone metallico;0
BOX_00083;bancale in polistirolo;8
BOX_00084;bancale in polistirolo;8
BOX_00085;cassone metallico;0
BOX_00086;cassone metallico;0
BOX_00087;bancale in polistirolo;7
BOX_00088;cassone metallico;0
BOX_00089;bancale in polistirolo;5
BOX_00090;bancale in polistirolo;8
BOX_00091;cassone metallico;0
BOX_00092;cassone metallico;0
BOX_00093;cassone metallico;0
BOX_00094;cassone metallico;0
BOX_00095;cassone metallico;0
BOX_00096;cassone metallico;0
BOX_00097;bancale in polistirolo;7
BOX_00098;bancale in polistirolo;8
BOX_00099;cassone metallico;0
BOX_00100;bancale in polistirolo;2
BOX_00101;cassone metallico;0
BOX_00102;bancale in polistirolo;7
BOX_00103;bancale in polistirolo;8
BOX_00104;bancale in polistirolo;6
BOX_00105;bancale in polistirolo;8
BOX_00106;cassone metallico;0
BOX_00107;cassone metallico;0
BOX_00108;cassone metallico;0
BOX_00109;bancale in polistirolo;8
BOX_00110;cassone metallico;0
BOX_00111;bancale in polistirolo;8
BOX_00112;bancale in polistirolo;8
BOX_00113;bancale in polistirolo;4
BOX_00114;cassone metallico;0
BOX_00115;cassone metallico;0
BOX_00116;cassone metallico;0
BOX_00117;cassone metallico;0
BOX_00118;cassone metallico;0
BOX_00119;cassone metallico;0
BOX_00120;bancale in polistirolo;8
BOX_00121;cassone metallico;0
BOX_00122;bancale in polistirolo;8
BOX_00123;bancale in polistirolo;8
BOX_00124;bancale in polistirolo;4
BOX_00125;cassone metallico;0
BOX_00126;bancale in polistirolo;1
BOX_00127;cassone metallico;0
BOX_00128;bancale in polistirolo;7
BOX_00129;cassone metallico;0
BOX_00130;cassone metallico;0
BOX_00131;bancale in polistirolo;8
BOX_00132;bancale in polistirolo;4
BOX_00133;bancale in polistirolo;8
BOX_00134;bancale in polistirolo;8
BOX_00135;cassone metallico;0
BOX_00136;bancale in polistirolo;8
BOX_00137;bancale in polistirolo;6
BOX_00138;bancale in polistirolo;8
BOX_00139;cassone metallico;0
BOX_00140;cassone metallico;0
BOX_00141;bancale in polistirolo;8
BOX_00142;bancale in polistirolo;8
BOX_00143;bancale in polistirolo;4
