codice_contenitore;tipo_contenitore;numero_scatole_nel_bancale
BANC_0001;bancale in polistirolo;8
BANC_0002;bancale in polistirolo;8
BANC_0003;bancale in polistirolo;8
BANC_0004;bancale in polistirolo;8
BANC_0005;bancale in polistirolo;8
BANC_0006;bancale in polistirolo;8
BANC_0007;bancale in polistirolo;8
BANC_0008;bancale in polistirolo;8
BANC_0009;bancale in polistirolo;8
BANC_0010;bancale in polistirolo;8
BANC_0011;bancale in polistirolo;8
BANC_0012;bancale in polistirolo;8
BANC_0013;bancale in polistirolo;8
BANC_0014;bancale in polistirolo;8
BANC_0015;bancale in polistirolo;8
BANC_0016;bancale in polistirolo;8
BANC_0017;bancale in polistirolo;8
BANC_0018;bancale in polistirolo;8
BANC_0019;bancale in polistirolo;8
BANC_0020;bancale in polistirolo;8
CASS_0001;cassone metallico;0
CASS_0002;cassone metallico;0
CASS_0003;cassone metallico;0
CASS_0004;cassone metallico;0
CASS_0005;cassone metallico;0
CASS_0006;cassone metallico;0
CASS_0007;cassone metallico;0
CASS_0008;cassone metallico;0
CASS_0009;cassone metallico;0
CASS_0010;cassone metallico;0
CASS_0011;cassone metallico;0
CASS_0012;cassone metallico;0
CASS_0013;cassone metallico;0
CASS_0014;cassone metallico;0
CASS_0015;cassone metallico;0
