id_contenitore_rif;data_verifica;ispettore;campione_pezzi;scartati;cod_difetto;motivo;orario_collaudo
BANC_0003;01-09-2026;MAT-0001;160;6;DIF-02;anima piena;01/09/2026 01:16:25
banc_0005;01/09/2026;MAT-0001;160;6;DIF-01;anima rotta;01-09-2026 02:33:08
BANC_0004;2026/09/01;MAT-0001;160;5;DIF-03;anima fuori tolleranza;01-09-2026 03:49:46
  BANC_0001 ;01/09/2026;MAT-0001;160;6;  DIF-03 ;anima fuori tolleranza;2026/09/01 05:06:25
BANC_0008;01-09-2026;MAT-0001;160;5;Dif-03;anima fuori tolleranza;01/09/2026 06:22:58
BANC_0009;01/09/2026;MAT-0001;160;4;DIF-03;anima fuori tolleranza;01/09/2026 07:39:38
banc_0010;01/09/2026;  MAT-0001 ;44;1;DIF-01;anima rotta;2026/09/01 08:00:00
banc_0006;01/09/2026;MAT-0002;192;6;DIF-02;anima piena;01-09-2026 01:25:20
banc_0002;01/09/2026;MAT-0002;192;6;DIF-02;anima piena;01-09-2026 02:50:56
BANC_0013;01/09/2026;MAT-0002;192;7;DIF-03;anima fuori tolleranza;01-09-2026 04:16:30
Banc_0012;01/09/2026;MAT-0002;192;5;DIF-03;anima fuori tolleranza;01/09/2026 05:42
  BANC_0015 ;01/09/2026;MAT-0002;192;7;DIF-02;anima piena;01/09/2026 07:07:46
  BANC_0007 ;01/09/2026;MAT-0002;118;3;  DIF-01 ;anima rotta;01/09/2026 08:00:00
BANC_0016;01/09/2026;MAT-0003;256;9;DIF-02;anima piena;01-09-2026 05:00:34
BANC_0019;01/09/2026;MAT-0003;153;6;DIF-02;anima piena;01/09/2026 08:00:00
BANC_0011;01/09/2026;MAT-0004;160;6;DIF-03;anima fuori tolleranza;01/09/2026 03:26:32
banc_0014;01/09/2026;MAT-0004;160;4;Dif-03;anima fuori tolleranza;01/09/2026 06:53:15
banc_0017;01-09-2026;MAT-0004;52;1;DIF-03;anima fuori tolleranza;01/09/2026 08:00:00
  BANC_0020 ;01/09/2026;MAT-0005;320;12;DIF-01;anima rotta;01-09-2026 05:38:22
CASS_0001;01-09-2026;MAT-0005;134;4;Dif-03;anima fuori tolleranza;01/09/2026 08:00:00
BANC_0018;01/09/2026;MAT-0006;160;4;Dif-01;anima rotta;01/09/2026 09:16
Banc_0006;01/09/2026;MAT-0006;160;6;Dif-01;  anima rotta ;2026/09/01 10:33:06
banc_0005;01/09/2026;MAT-0006;160;5;DIF-01;anima rotta;01/09/2026 11:49:36
BANC_0003;2026/09/01;MAT-0006;160;5;DIF-02;anima piena;01/09/2026 13:06:19
BANC_0002;01/09/2026;MAT-0006;160;5;DIF-01;anima rotta;01/09/2026 14:23:02
BANC_0001;01/09/2026;MAT-0006;160;5;DIF-02;anima piena;01/09/2026 15:39:44
BANC_0004;01/09/2026;MAT-0006;42;1;DIF-02;anima piena;01/09/2026 16:00:00
CASS_0002;01-09-2026;MAT-0007;350;14;DIF-03;anima fuori tolleranza;01-09-2026 10:35:50
  CASS_0003 ;2026/09/01;MAT-0007;350;11;DIF-02;anima piena;01/09/2026 13:11
BANC_0014;01/09/2026;MAT-0007;192;8;DIF-03;anima fuori tolleranza;01/09/2026 14:37:29
BANC_0008;01/09/2026;MAT-0007;186;7;DIF-03;anima fuori tolleranza;01/09/2026 16:00:00
cass_0005;01/09/2026;mat-0008;400;16;DIF-01;Anima rotta;01/09/2026 15:49
  BANC_0009 ;2026/09/01;MAT-0008;9;0;;;01/09/2026 16:00:00
CASS_0009;01/09/2026;mat-0009;250;9;DIF-01;anima rotta;01-09-2026 13:22:37
BANC_0016;2026/09/01;MAT-0009;122;5;DIF-02;anima piena;01-09-2026 16:00:00
CASS_0006;01/09/2026;MAT-0010;450;15;DIF-01;anima rotta;01/09/2026 15:55:47
BANC_0007;01/09/2026;MAT-0010;4;0;;;01/09/2026 16:00
BANC_0013;2026/09/01;mat-0011;160;5;DIF-03;anima fuori tolleranza;01-09-2026 17:16:20
BANC_0006;01-09-2026;MAT-0011;160;4;  DIF-03 ;  anima fuori tolleranza ;2026/09/01 18:33:01
BANC_0011;2026/09/01;MAT-0011;160;6;DIF-03;anima fuori tolleranza;01/09/2026 19:49
BANC_0015;01/09/2026;MAT-0011;160;6;DIF-01;anima rotta;01/09/2026 21:06:26
BANC_0003;01/09/2026;MAT-0011;12;1;DIF-01;anima rotta;01/09/2026 21:12
BANC_0005;2026/09/02;MAT-0011;95;3;DIF-02;anima piena;02/09/2026 00:00
  BANC_0019 ;01-09-2026;MAT-0012;192;8;DIF-01;  anima rotta ;01/09/2026 17:25:27
BANC_0017;01/09/2026;mat-0012;192;6;DIF-03;anima fuori tolleranza;01/09/2026 19:20:06
BANC_0010;2026/09/01;MAT-0012;192;6;dif-01;  anima rotta ;01/09/2026 20:45:39
BANC_0018;2026/09/01;mat-0012;192;6;  DIF-01 ;anima rotta;01/09/2026 22:11:14
  BANC_0008 ;01/09/2026;MAT-0012;192;7;dif-03;anima fuori tolleranza;2026/09/01 23:36:53
BANC_0002;01/09/2026;MAT-0012;30;1;DIF-03;anima fuori tolleranza;01/09/2026 23:50:30
CASS_0007;2026/09/01;MAT-0013;400;12;dif-03;anima fuori tolleranza;01-09-2026 23:49:39
BANC_0009;02/09/2026;MAT-0013;9;0;   ;;2026/09/02 00:00:00
CASS_0008;01/09/2026;mat-0014;250;8;DIF-02;anima piena;01/09/2026 21:22
banc_0020;02/09/2026;MAT-0014;122;3;DIF-01;anima rotta;02/09/2026 00:00:00
CASS_0001;01/09/2026;MAT-0015;450;13;DIF-02;Anima piena;01/09/2026 23:55:56
banc_0012;02/09/2026;Mat-0015;4;0; ;   ;02-09-2026 00:00:00
BANC_0014;02-09-2026;MAT-0001;160;4;DIF-03;anima fuori tolleranza;02/09/2026 03:26:27
  BANC_0004 ;02/09/2026;MAT-0001;160;5;DIF-03;anima fuori tolleranza;02/09/2026 06:52:58
BANC_0003;02/09/2026;MAT-0001;52;2;DIF-01;anima rotta;02/09/2026 08:00
BANC_0013;02/09/2026;MAT-0002;256;9;DIF-01;anima rotta;2026/09/02 05:00:35
BANC_0010;02/09/2026;MAT-0002;153;4;dif-03;Anima fuori tolleranza;02/09/2026 08:00:00
BANC_0001;2026/09/02;MAT-0003;256;7;  DIF-01 ;anima rotta;02/09/2026 05:00:31
  BANC_0007 ;02/09/2026;  MAT-0003 ;153;5;DIF-02;  anima piena ;02/09/2026 08:00:00
CASS_0003;02/09/2026;MAT-0004;250;8;DIF-02;Anima piena;02/09/2026 05:22:29
  BANC_0011 ;02/09/2026;  MAT-0004 ;122;3;DIF-02;anima piena;02/09/2026 08:00:00
BANC_0019;02/09/2026;MAT-0005;320;11;DIF-03;anima fuori tolleranza;02-09-2026 06:32:30
BANC_0006;02/09/2026;mat-0005;83;2;DIF-02;  anima piena ;2026/09/02 08:00:00
BANC_0005;02/09/2026;MAT-0006;160;5;DIF-03;anima fuori tolleranza;2026/09/02 11:26:24
banc_0001;02/09/2026;MAT-0006;160;6;dif-01;anima rotta;02/09/2026 14:53:14
BANC_0007;02-09-2026;MAT-0006;52;2;DIF-02;anima piena;02/09/2026 16:00
Banc_0002;02-09-2026;MAT-0007;256;7;dif-02;anima piena;02/09/2026 13:00:25
BANC_0009;02/09/2026;MAT-0007;153;6;DIF-02;anima piena;02/09/2026 16:00:00
Banc_0016;02/09/2026;MAT-0008;256;10;DIF-03;  anima fuori tolleranza ;02/09/2026 13:00
BANC_0008;02-09-2026;mat-0008;153;6;DIF-03;anima fuori tolleranza;02/09/2026 16:00:00
BANC_0018;02/09/2026;MAT-0009;160;4;DIF-02;anima piena;02-09-2026 11:26:25
BANC_0015;2026/09/02;MAT-0009;160;4;DIF-01;anima rotta;02/09/2026 14:53:03
  BANC_0011 ;02/09/2026;mat-0009;52;2;DIF-01;anima rotta;02/09/2026 16:00:00
BANC_0020;2026/09/02;MAT-0010;320;10;DIF-03;anima fuori tolleranza;02/09/2026 13:38
BANC_0013;02/09/2026;MAT-0010;134;5;DIF-02;Anima piena;2026/09/02 16:00:00
  BANC_0010 ;2026/09/02;MAT-0011;160;5;DIF-03;  anima fuori tolleranza ;02/09/2026 19:26:18
BANC_0005;2026/09/02;MAT-0011;160;5;DIF-01;anima rotta;02-09-2026 22:52:57
BANC_0004;03/09/2026;MAT-0011;52;1;DIF-03;anima fuori tolleranza;03/09/2026 00:00:00
BANC_0006;02/09/2026;  MAT-0012 ;256;8;DIF-02;  anima piena ;02/09/2026 21:00:37
BANC_0002;03/09/2026;MAT-0012;153;4;DIF-02;anima piena;03/09/2026 00:00:00
BANC_0019;02/09/2026;MAT-0013;256;10;  DIF-03 ;anima fuori tolleranza;02/09/2026 21:00:27
BANC_0001;03/09/2026;MAT-0013;153;4;DIF-03;anima fuori tolleranza;03/09/2026 00:00:00
  BANC_0003 ;2026/09/02;MAT-0014;160;5;DIF-01;anima rotta;02/09/2026 19:26:35
BANC_0018;2026/09/02;MAT-0014;160;5;dif-02;anima piena;02/09/2026 22:53:14
BANC_0007;2026/09/03;MAT-0014;52;2;dif-02;anima piena;03/09/2026 00:00:00
CASS_0002;02/09/2026;MAT-0015;450;13;DIF-01;anima rotta;02-09-2026 23:56:03
BANC_0009;2026/09/03;mat-0015;4;0;;;03-09-2026 00:00:00
BANC_0012;2026/09/03;MAT-0001;160;6;DIF-03;anima fuori tolleranza;2026/09/03 03:26:23
BANC_0003;03-09-2026;MAT-0001;160;4;  DIF-02 ;anima piena;2026/09/03 06:52:59
BANC_0001;03/09/2026;MAT-0001;52;2;DIF-02;anima piena;2026/09/03 08:00:00
BANC_0014;03/09/2026;MAT-0002;256;8;dif-01;anima rotta;03-09-2026 05:00:37
BANC_0010;03-09-2026;MAT-0002;153;4;DIF-03;anima fuori tolleranza;03/09/2026 08:00
BANC_0011;03/09/2026;MAT-0003;256;10;dif-02;anima piena;03/09/2026 05:00:27
  BANC_0015 ;03/09/2026;MAT-0003;153;4;DIF-02;anima piena;2026/09/03 08:00:00
BANC_0017;2026/09/03;MAT-0004;160;5;DIF-02;anima piena;03-09-2026 04:09:34
BANC_0016;03/09/2026;MAT-0004;160;5;DIF-02;  anima piena ;03/09/2026 07:36
Banc_0007;2026/09/03;MAT-0004;19;1;DIF-03;anima fuori tolleranza;2026/09/03 08:00:00
BANC_0008;03/09/2026;MAT-0005;197;6;DIF-01;anima rotta;03/09/2026 03:28:32
BANC_0020;2026/09/03;MAT-0005;160;6;DIF-01;anima rotta;03/09/2026 05:29:05
BANC_0005;03/09/2026;Mat-0005;160;6;DIF-02;anima piena;03-09-2026 06:45:37
BANC_0002;2026/09/03;MAT-0005;156;5;DIF-01;anima rotta;03/09/2026 08:00:00
BANC_0018;03/09/2026;MAT-0006;160;6;DIF-01;anima rotta;03/09/2026 11:26:26
  BANC_0009 ;2026/09/03;MAT-0006;160;5;DIF-02;anima piena;03/09/2026 14:53
BANC_0004;2026/09/03;MAT-0006;52;2;DIF-02;anima piena;03/09/2026 16:00:00
BANC_0006;03/09/2026;MAT-0007;256;10;  DIF-03 ;anima fuori tolleranza;03/09/2026 13:00
banc_0003;03/09/2026;MAT-0007;153;6;  DIF-03 ;anima fuori tolleranza;03/09/2026 16:00:00
CASS_0003;2026/09/03;MAT-0008;132;4;DIF-01;  anima rotta ;03/09/2026 10:35:03
BANC_0014;03/09/2026;MAT-0008;192;5;DIF-02;  anima piena ;03-09-2026 12:44:23
BANC_0017;2026/09/03;  MAT-0008 ;192;5;DIF-01;anima rotta;03/09/2026 14:10:00
BANC_0001;03/09/2026;MAT-0008;192;7;DIF-01;anima rotta;03/09/2026 15:35:35
Banc_0005;2026/09/03;MAT-0008;56;2;DIF-02;anima piena;03/09/2026 16:00:00
CASS_0001;03/09/2026;MAT-0009;250;7;DIF-02;anima piena;03/09/2026 13:22
BANC_0011;03/09/2026;MAT-0009;122;4;DIF-01;anima rotta;03/09/2026 16:00:00
CASS_0002;03/09/2026;MAT-0010;300;11;DIF-02;  anima piena ;03/09/2026 10:23:33
BANC_0008;03/09/2026;MAT-0010;160;4;DIF-03;anima fuori tolleranza;2026/09/03 11:40:13
CASS_0004;03/09/2026;  MAT-0010 ;300;9;DIF-01;anima rotta;03/09/2026 14:03:56
BANC_0013;03/09/2026;MAT-0010;160;5;DIF-02;  anima piena ;03-09-2026 15:20:33
BANC_0015;03/09/2026;MAT-0010;82;3;DIF-03;anima fuori tolleranza;03/09/2026 16:00:00
BANC_0002;03/09/2026;mat-0011;160;6;DIF-02;anima piena;03/09/2026 19:26:34
BANC_0010;2026/09/03;MAT-0011;160;6;DIF-01;anima rotta;2026/09/03 22:53:20
BANC_0001;04-09-2026;MAT-0011;52;1;DIF-02;  anima piena ;04/09/2026 00:00
